,school,sat_total_25th_75th_percentile,act_total_25th_75th_percentile
215,University of San Francisco,1130-1330,23-29
216,Bard College,1248-1420,27-31
217,Goshen College,1010-1210,21-29
218,Agnes Scott College,1130-1340,24-30
219,Virginia Polytechnic Institute and State University,1180-1390,25-31
220,University of Houston,1140-1310,22-27
221,University of North Carolina—​Charlotte,1120-1290,22-26
222,Truman State University,1080-1358,24-30
223,University of North Carolina—​Wilmington,1170-1320,22-27
224,SUNY—​Geneseo,1120-1310,23-28
225,Embry-​Riddle Aeronautical University,1110-1320,22-29
226,University of the Pacific,1130-1360,23-31
227,Rochester Institute of Technology,1200-1400,27-32
228,Berry College,1110-1310,23-29
229,Mississippi State University,1070-1280,22-30
230,Sewanee—​University of the South,1150-1340,25-30
231,Hanover College,1078-1300,22-28
232,Coe College,1078-1300,22-28
233,Randolph-​Macon College,1020-1240,20-27
234,Loyola University Chicago,1140-1320,25-30
235,University of Vermont,1180-1360,26-31
236,San Francisco State University,940-1150,17-23
237,Brigham Young University—​Provo,1210-1420,26-31
238,Drake University,1100-1370,24-31
239,Stonehill College,1120-1290,24-28.5
240,Elmhurst College,990-1210,20-26
241,Taylor University,1080-1310,22-28
242,DePaul University,1070-1290,--
243,Knox College,1090-1350,24-31
244,Hofstra University,1160-1340,25-30
245,Ithaca College,1160-1338,25-30
246,California State University--San Bernardino,910-1090,15-19
247,University of South Carolina,1180-1370,25-31
248,Albion College,990-1200,21-27
249,Presbyterian College (SC),1010-1210,19-25
250,Texas Tech University,1070-1260,22-27
251,Ohio Wesleyan University,1060-1295,22-28
252,Ripon College,1000-1210,20-27
253,Drew University,1110-1310,25-30
254,Gustavus Adolphus College,--,25-30
255,Central Michigan,990-1200,20-26
256,Oklahoma State University,1040-1265,21-28
257,Bradley University,1070-1270,22-28
258,Seton Hall University,1150-1310,24-28
259,Biola University,1080-1310,21-28
260,Ursinus College,1140-1320,23-28
261,Montclair State,990-1170,--
262,Clarkson University,1160-1350,24-30
263,Michigan State University,1100-1320,23-29
264,Hollins University,1070-1300,22-30
265,Creighton University,1150-1350,24-30
266,California Lutheran University,1070-1250,21-26
267,University of Mary Washington,1050-1269,22-29
268,Christopher Newport University,1110-1280,22-27
269,University of California—Merced,980-1180,17-22
270,Mercer University,1180-1340,25-30
271,University of Dayton,1120-1320,23-29
272,Lewis & Clark College,1220-1400,27-31
273,Hendrix College,1153-1390,26-32
274,University of Rhode Island,1012-1345,20-29
275,California State University--Chico,990-1180,18-24
276,Stetson University,1110-1300,22-29
277,Quinnipiac University,1090-1260,23-28
278,Duquesne University,1130-1300,23-28
279,University of Illinois—​Chicago,1030-1260,21-28
280,University of Akron,990-1230,19-25
281,St. John's University (NY),1070-1270,23-29
282,University of Cincinnati,1160-1370,24-29
283,Simmons University,1110-1290,23-29
284,Wayne State University,1010-1230,21-27
285,Butler University,1150-1330,24-30
286,Point Loma Nazarene University,1140-1310,24-29
287,University of North Texas,1060-1250,20-26
288,University of North Georgia,1108-1273,22-27
289,Xavier University,1070-1250,22-28
290,Wheaton College (MA),1150-1340,27-32
291,Eastern Michigan,970-1190,19-25
292,University of Washington--Bothell,1038-1250,19-28
293,Adelphi University,1080-1270,22-27
294,Baldwin Wallace University,1030-1250,21-27
295,Michigan Technological University,1170-1370,25-30
296,Drexel University,1190-1390,25-31
297,University of Redlands,1100-1250,23-28
298,Loyola University New Orleans,1050-1260,22-28
299,California State University--Monterey Bay,960-1170,17-23
300,Whittier College,1030-1213,20-25
301,Kalamazoo College,1170-1370,25-31
302,Towson University,1060-1220,20-25
303,Centre College,1130-1380,26-32
304,University of Texas San Antonio,1030-1220,19-25
305,Ball State,--,--
306,James Madison University,1120-1290,23-28
307,Appalachian State University,1100-1270,22-28
308,Indiana University—​Bloomington,1150-1360,24-31
309,High Point University,1090-1250,22-27
310,Virginia Commonwealth University,1070-1260,21-28
311,University of Arkansas—​Fayetteville,1120-1300,23-30
312,John Brown University,1060-1365,23-30
313,University of Idaho,1010-1240,20-27
314,University of Missouri,1090-1290,23-29
315,Willamette University,1140-1340,31-35
316,University of Nebraska—​Lincoln,1120-1360,22-28
317,Carroll College,1070-1270,22-28
318,College of Charleston,1080-1260,22-28
319,University of Colorado—​Boulder,1140-1350,25-31
320,Elon University,1160-1320,25-30
321,Seattle University,1160-1330,24-30
322,University of Texas—​Dallas,1240-1460,26-33
323,East Carolina,1030-1190,19-24
324,University of Tennessee,1150-1330,24-30
325,University of Texas Arlington,1060-1260,20-26
326,Pacific Lutheran University,1070-1270,20-28
327,Western Michigan,1000-1210,19-26
328,Loyola University Maryland,1143-1320,25-30
329,Miami University—​Oxford,1210-1410,26-31
330,Goucher College,1040-1290,22-29
331,University of Oklahoma,1130-1310,23-29
332,Auburn University,1150-1320,25-31
333,University of Nevada—​Las Vegas,1030-1250,19-25
334,Boise State,960-1180,21-26
335,St. Mary's College of California,1070-1240,22-28
336,Siena College,1070-1280,22-28
337,University of North Dakota,1010-1250,20-26
338,Texas State University,1010-1180,19.3-25.3
339,Colorado State University,1070-1290,23-29
340,University of Memphis,1010-1230,19-26
341,West Virginia University,1050-1240,21-27
342,University of Oregon,1100-1310,22-28
343,University of St. Thomas (MN),1130-1380,24-29
344,St. Mary's College (IN),1050-1260,22-28
345,Illinois State,1020-1220,20-26
346,Ohio University,1050-1260,21-26
347,California State University--Sacramento,940-1140,16-22
348,University of North Carolina—​Greensboro,1000-1160,19-24
349,University of Iowa,1130-1340,22-29
350,St. Michael's College,1140-1320,25-29
351,University of Alaska Anchorage,1020-1220,17-24
352,Marquette University,1120-1320,24-29
353,College of St. Benedict,990-1210,22-27
354,Oregon State University,1080-1320,21-28
355,The Catholic University of America,1140-1320,24-30
356,University of Puget Sound,1150-1370,25-30
357,University of New Hampshire,1070-1270,22-28
358,Missouri University of Science & Technology,1180-1380,25-31
359,St. Mary's College of Maryland,1060-1290,21-29
360,University of Arizona,1120-1350,21-29
361,Susquehanna University,1100-1290,22-28
362,Arizona State University—​Tempe,1130-1360,22-29
363,Wheaton College (IL),1220-1440,26-32
364,Northern Arizona,1030-1230,19-25
365,Washington and Jefferson College,1090-1280,22-28
366,Kent State,1040-1230,20-26
367,Mills College,1008-1240,21-29
368,Hope College,1130-1330,23-31
369,Valparaiso University,1070-1290,22-29
370,George Mason University,1110-1320,24-30
371,Old Dominion,990-1200,18-24
372,Missouri State,1040-1240,21-27
373,University of Wisconsin Milwaukee,1000-1398,20-25
374,Transylvania University,1100-1310,24-30
375,Weber State,--,18-24
376,University of Maine,1050-1260,21-27
377,Humboldt State University,980-1190,17-25
378,Utah State,1050-1310,21-28
379,Iowa State University,1100-1340,22-28
380,Washington College,1090-1300,20-29
381,University of Montana,1060-1270,21-26
382,Samford University,1070-1250,23-29
383,University of Kansas,--,23-29
384,University of Kentucky,1080-1300,23-29
385,University of Toledo,1000-1240,20-26
386,Kansas State University,--,22-28
387,Portland State,1010-1230,18-25
388,Queens University of Charlotte,1040-1240,21-27
389,Western Kentucky,990-1220,19-27
390,United States Naval Academy,1240-1520,27-32
391,United States Military Academy,1160-1380,25-30
392,United States Air Force Academy,1230-1440,28-33
393,United States Coast Guard Academy,1245-1420,26-31
